MAGV,HOTEN,TENKHOA
012,"Phạm Duy Khang","Công nghệ sinh học"
002,"Trần Trà Hương","Công nghệ thông tin"
007,"Nguyễn An Trung","Hóa học"
007,"Nguyễn An Trung","Khoa học sức khỏe"
011,"Trịnh Ngọc Minh","Kỹ thuật"
006,"Trần Bạch Tuyết","Kinh tế quản trị"
019,"Trần Thị Yến Nhi","Ngoại ngữ học"
015,"Lê Quốc Trinh","Quản trị kinh doanh"
008,"Trần Trung Hiếu","Sinh học"
004,"Trương Nam Sơ","Toán học"
010,"Phạm Nam Thanh","Tài nguyên và môi trường"
005,"Lý Hoàng Hà","Vật lý"
015,"Lê Quốc Trinh","Xã hội và nhân văn"
